feature,bin,goods,bads,woe,scorecard_points
fico_mid,"(-inf, 672.0]",19782,6306,-0.3067,32
fico_mid,"(672.0, 682.0]",11698,3253,-0.1701,36
fico_mid,"(682.0, 697.0]",14912,3557,-0.0167,40
fico_mid,"(697.0, 717.0]",14009,2751,0.1778,46
fico_mid,"(717.0, inf]",14402,1680,0.6986,60
dti,"(-inf, 10.78]",15933,2563,0.3772,49
dti,"(10.78, 15.56]",15507,2939,0.2132,45
dti,"(15.56, 20.15]",15065,3415,0.0342,41
dti,"(20.15, 25.82]",14556,3924,-0.1391,38
dti,"(25.82, inf]",13742,4706,-0.3784,33
revol_util,"(-inf, 33.7]",15621,2908,0.2312,40
revol_util,"(33.7, 48.8]",15112,3305,0.0701,40
revol_util,"(48.8, 62.2]",14963,3597,-0.0245,41
revol_util,"(62.2, 76.9]",14567,3843,-0.1175,41
revol_util,"(76.9, inf]",14540,3894,-0.1325,41
annual_inc,"(-inf, 42000.0]",14998,4266,-0.1927,34
annual_inc,"(42000.0, 56000.0]",14338,3826,-0.1289,36
annual_inc,"(56000.0, 72500.0]",14526,3494,-0.0251,40
annual_inc,"(72500.0, 99906.6]",15218,3214,0.105,44
annual_inc,"(99906.6, inf]",15723,2747,0.2946,51
loan_amnt,"(-inf, 7025.0]",15815,2663,0.3315,57
loan_amnt,"(7025.0, 10575.0]",15369,3108,0.1484,48
loan_amnt,"(10575.0, 15000.0]",15485,3915,-0.0749,37
loan_amnt,"(15000.0, inf]",28134,7861,-0.1749,32
installment_to_inc,"(-inf, 4.379]",16105,2365,0.4684,41
installment_to_inc,"(4.379, 6.465]",15468,3002,0.1895,41
installment_to_inc,"(6.465, 8.629]",14919,3551,-0.0146,41
installment_to_inc,"(8.629, 11.54]",14413,4057,-0.1823,41
installment_to_inc,"(11.54, inf]",13898,4572,-0.3382,41
open_acc,"(-inf, 7.0]",16455,3471,0.1062,42
open_acc,"(7.0, 10.0]",19983,4424,0.0579,41
open_acc,"(10.0, 12.0]",11824,2769,0.0017,41
open_acc,"(12.0, 15.0]",12273,2988,-0.0372,40
open_acc,"(15.0, inf]",14268,3895,-0.1516,38
inq_last_6mths,"(-inf, 1.0]",63451,14019,0.0599,42
inq_last_6mths,"(1.0, inf]",11352,3528,-0.2813,33
delinq_2yrs,"(-inf, 1.0]",69824,16196,0.0112,41
delinq_2yrs,"(1.0, inf]",4979,1351,-0.1456,38
emp_length,1 year,4716,1117,-0.0097,40
emp_length,10+ years,28956,6734,0.0086,41
emp_length,2 years,6659,1518,0.0286,41
emp_length,3 years,5873,1345,0.024,41
emp_length,4 years,4329,1017,-0.0015,41
emp_length,5 years,4619,1022,0.0584,42
emp_length,6 years,3396,827,-0.0374,40
emp_length,7 years,3739,874,0.0035,41
emp_length,8 years,3678,923,-0.0675,39
emp_length,9 years,2975,708,-0.0144,40
emp_length,< 1 year,5863,1462,-0.0611,39
home_ownership,MORTGAGE,38191,7714,0.1496,44
home_ownership,OWN,7560,1828,-0.0303,40
home_ownership,RENT,29052,8005,-0.161,37
purpose,car,662,96,0.4809,52
purpose,credit_card,18489,3595,0.1877,45
purpose,debt_consolidation,44118,11111,-0.071,39
purpose,home_improvement,4427,889,0.1554,44
purpose,house,253,73,-0.207,36
purpose,major_purchase,1299,292,0.0426,42
purpose,medical,675,177,-0.1114,38
purpose,moving,432,106,-0.045,40
purpose,other,3340,869,-0.1036,38
purpose,renewable_energy,48,12,-0.0637,39
purpose,small_business,581,236,-0.5491,28
purpose,vacation,424,73,0.3093,48
purpose,wedding,55,18,-0.333,33
